date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.4b.delayed	(from https://www.manycolouredsky.org/australia)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.4c.delayed	(from https://www.manycolouredsky.org/facing-out)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.4d.delayed	(from https://www.manycolouredsky.org/facing-out)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.4e.delayed	(from https://www.manycolouredsky.org/facing-out)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.4f.delayed	(from https://www.manycolouredsky.org/lgbtiq-community-impact-report)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.50.delayed	(from https://www.manycolouredsky.org/lgbtiq-community-impact-report)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.51.delayed	(from https://www.manycolouredsky.org/lgbtiq-community-impact-report)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.52.delayed	(from https://www.manycolouredsky.org/shop/black-rainbow-to-refuge-t-shirt)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.53.delayed	(from https://www.manycolouredsky.org/shop/black-rainbow-to-refuge-t-shirt)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.54.delayed	(from https://www.manycolouredsky.org/shop/black-rainbow-to-refuge-t-shirt)
10:53:13	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.56.delayed	(from https://www.manycolouredsky.org/shop/black-rainbow-to-refuge-t-shirt-epmrw)
10:53:13	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.57.delayed	(from https://www.manycolouredsky.org/shop/black-rainbow-to-refuge-t-shirt-epmrw)
10:53:13	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.58.delayed	(from https://www.manycolouredsky.org/shop/black-rainbow-to-refuge-t-shirt-epmrw)
10:53:14	112084/112084	---M--	200	added ('OK')	image/svg+xml	etag:%22d58aa359d9e3928678765bc5f9f442ae%22	https://www.manycolouredsky.org/universal/svg/social-accounts.svg	/home/benz/website-copy/www.manycolouredsky.org/universal/svg/social-accounts.svg	(from https://www.manycolouredsky.org/shop/black-rainbow-to-refuge-t-shirt)
